County,James Chafin_Election Day Votes,James Chafin_Absentee by Mail Votes,James Chafin_Advanced Voting Votes,James Chafin_Provisional Votes,James Chafin_TOTAL VOTES,Deborah Gonzalez (Dem)_Election Day Votes,Deborah Gonzalez (Dem)_Absentee by Mail Votes,Deborah Gonzalez (Dem)_Advanced Voting Votes,Deborah Gonzalez (Dem)_Provisional Votes,Deborah Gonzalez (Dem)_TOTAL VOTES,Brian Patterson (Dem)_Election Day Votes,Brian Patterson (Dem)_Absentee by Mail Votes,Brian Patterson (Dem)_Advanced Voting Votes,Brian Patterson (Dem)_Provisional Votes,Brian Patterson (Dem)_TOTAL VOTES,Total,
Clarke,2564,3063,5189,12,10828,4363,10856,13598,31,28848,1372,3586,3367,7,8332,48008,
Oconee,2316,2102,9753,1,14172,518,1953,3264,2,5737,406,1336,1848,0,3590,23499,
