County,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_TOTAL VOTES,Total,
Chattahoochee,305,219,567,3,1094,1094,
Harris,4016,2675,5056,11,11758,11758,
Marion,633,589,1227,0,2449,2449,
Muscogee,10050,19385,33198,31,62664,62664,
Talbot,779,954,919,1,2653,2653,
Taylor,466,588,1576,7,2637,2637,
