County,Jonathan L. Adams (I) (Rep)_Election Day Votes,Jonathan L. Adams (I) (Rep)_Absentee by Mail Votes,Jonathan L. Adams (I) (Rep)_Advanced Voting Votes,Jonathan L. Adams (I) (Rep)_Provisional Votes,Jonathan L. Adams (I) (Rep)_TOTAL VOTES,Total,
Butts,1029,1520,7299,3,9851,9851,
Lamar,2021,1267,4356,7,7651,7651,
Monroe,3443,1663,7949,7,13062,13062,
