County,Jack Browning (I) (Rep)_Election Day Votes,Jack Browning (I) (Rep)_Absentee by Mail Votes,Jack Browning (I) (Rep)_Advanced Voting Votes,Jack Browning (I) (Rep)_Provisional Votes,Jack Browning (I) (Rep)_TOTAL VOTES,Total,
Haralson,4453,2084,6528,4,13069,13069,
Polk,3159,2106,9764,17,15046,15046,
