County,Craig Fraser (I) (Rep)_Election Day Votes,Craig Fraser (I) (Rep)_Absentee by Mail Votes,Craig Fraser (I) (Rep)_Advanced Voting Votes,Craig Fraser (I) (Rep)_Provisional Votes,Craig Fraser (I) (Rep)_TOTAL VOTES,Adriane Latrell Love (Dem)_Election Day Votes,Adriane Latrell Love (Dem)_Absentee by Mail Votes,Adriane Latrell Love (Dem)_Advanced Voting Votes,Adriane Latrell Love (Dem)_Provisional Votes,Adriane Latrell Love (Dem)_TOTAL VOTES,Total,
Johnson,686,329,1642,0,2657,277,406,658,0,1341,3998,
Laurens,5042,2355,5937,2,13336,2437,2674,3899,4,9014,22350,
Treutlen,330,249,1149,0,1728,205,327,743,0,1275,3003,
Twiggs,787,319,1157,1,2264,441,695,885,3,2024,4288,
