County,Tripp Fitzner (Rep)_Election Day Votes,Tripp Fitzner (Rep)_Absentee by Mail Votes,Tripp Fitzner (Rep)_Advanced Voting Votes,Tripp Fitzner (Rep)_Provisional Votes,Tripp Fitzner (Rep)_TOTAL VOTES,Total,
Candler,1844,546,1312,0,3702,3702,
Emanuel,2855,1193,3538,1,7587,7587,
Jefferson,1465,749,2427,8,4649,4649,
Toombs,2091,1588,5298,6,8983,8983,
Washington,1855,1318,3016,5,6194,6194,
