County,Timothy G. Vaughn (I) (Rep)_Election Day Votes,Timothy G. Vaughn (I) (Rep)_Absentee by Mail Votes,Timothy G. Vaughn (I) (Rep)_Advanced Voting Votes,Timothy G. Vaughn (I) (Rep)_Provisional Votes,Timothy G. Vaughn (I) (Rep)_TOTAL VOTES,Total,
Bleckley,1107,755,2991,1,4854,4854,
Dodge,2385,917,3030,5,6337,6337,
Montgomery,1186,469,1603,0,3258,3258,
Pulaski,404,422,2425,1,3252,3252,
Telfair,994,479,1614,5,3092,3092,
Wheeler,535,247,1021,0,1803,1803,
