index,County,Precinct,Registered Voters,"Ricky """"Rick"""" Williams (I) (Rep)_Election Day Votes","Ricky """"Rick"""" Williams (I) (Rep)_Advanced Voting Votes","Ricky """"Rick"""" Williams (I) (Rep)_Absentee by Mail Votes","Ricky """"Rick"""" Williams (I) (Rep)_Provisional Votes","Ricky """"Rick"""" Williams (I) (Rep)_Choice Total",Quentin T. Howell (Dem)_Election Day Votes,Quentin T. Howell (Dem)_Advanced Voting Votes,Quentin T. Howell (Dem)_Absentee by Mail Votes,Quentin T. Howell (Dem)_Provisional Votes,Quentin T. Howell (Dem)_Choice Total,Total,
0,Putnam,101,3264,0,0,0,0,0,0,0,0,0,0,0,
1,Putnam,104,3380,21,130,37,0,188,101,322,295,0,718,906,
2,Putnam,107,4293,538,1477,617,0,2632,86,200,231,0,517,3149,
