index,County,Precinct,Registered Voters,Trey Rhodes (I) (Rep)_Election Day Votes,Trey Rhodes (I) (Rep)_Advanced Voting Votes,Trey Rhodes (I) (Rep)_Absentee by Mail Votes,Trey Rhodes (I) (Rep)_Provisional Votes,Trey Rhodes (I) (Rep)_Choice Total,Total,
0,Putnam,101,3264,234,1041,367,0,1642,1642,
1,Putnam,104,3380,159,754,267,0,1180,1180,
2,Putnam,105,3734,449,1564,718,0,2731,2731,
3,Putnam,106,1332,308,438,171,0,917,917,
