index,County,Precinct,Registered Voters,Hollis Harrison (Rep)_Election Day Votes,Hollis Harrison (Rep)_Advanced Voting Votes,Hollis Harrison (Rep)_Absentee by Mail Votes,Hollis Harrison (Rep)_Provisional Votes,Hollis Harrison (Rep)_Choice Total,Total,
0,Putnam,101,3264,249,1070,399,0,1718,1718,
1,Putnam,104,3380,237,1060,458,0,1755,1755,
2,Putnam,105,3734,448,1578,743,0,2769,2769,
3,Putnam,106,1332,314,442,178,0,934,934,
4,Putnam,107,4293,586,1604,730,0,2920,2920,
