index,County,Precinct,Registered Voters,Trevor J. Addison (Rep)_Election Day Votes,Trevor J. Addison (Rep)_Advanced Voting Votes,Trevor J. Addison (Rep)_Absentee by Mail Votes,Trevor J. Addison (Rep)_Provisional Votes,Trevor J. Addison (Rep)_Choice Total,Denise L. Hill (Dem)_Election Day Votes,Denise L. Hill (Dem)_Advanced Voting Votes,Denise L. Hill (Dem)_Absentee by Mail Votes,Denise L. Hill (Dem)_Provisional Votes,Denise L. Hill (Dem)_Choice Total,Total,
0,Putnam,101,3264,156,829,223,0,1208,145,467,367,0,979,2187,
1,Putnam,104,3380,150,779,224,0,1153,152,547,459,0,1158,2311,
2,Putnam,105,3734,412,1466,623,0,2501,55,187,247,0,489,2990,
3,Putnam,106,1332,294,409,148,0,851,25,59,59,0,143,994,
4,Putnam,107,4293,532,1477,588,0,2597,90,208,246,0,544,3141,
