index,County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
0,Putnam,101,3264,245,1046,383,0,1674,1674,
1,Putnam,104,3380,231,1053,430,0,1714,1714,
2,Putnam,105,3734,447,1569,717,0,2733,2733,
3,Putnam,106,1332,311,441,175,0,927,927,
4,Putnam,107,4293,587,1593,710,0,2890,2890,
