index,County,Precinct,Registered Voters,Paul C. Reviere (I) (Rep)_Election Day Votes,Paul C. Reviere (I) (Rep)_Advanced Voting Votes,Paul C. Reviere (I) (Rep)_Absentee by Mail Votes,Paul C. Reviere (I) (Rep)_Provisional Votes,Paul C. Reviere (I) (Rep)_Choice Total,Total,
0,Lincoln,Midway,587,120,176,77,0,373,373,
1,Lincoln,Lincoln Club House,799,105,212,113,2,432,432,
2,Lincoln,Lincoln Center,1489,207,598,176,0,981,981,
3,Lincoln,Faith Temple of Lincoln,489,94,159,64,0,317,317,
4,Lincoln,Tabernacle,1003,170,287,107,0,564,564,
5,Lincoln,Bethany Church,575,123,186,67,0,376,376,
6,Lincoln,Martins Crossroad,1234,248,477,139,1,865,865,
