index,County,Precinct,Registered Voters,A. Nicole Kelley_Election Day Votes,A. Nicole Kelley_Advanced Voting Votes,A. Nicole Kelley_Absentee by Mail Votes,A. Nicole Kelley_Provisional Votes,A. Nicole Kelley_Choice Total,Mike Phillips_Election Day Votes,Mike Phillips_Advanced Voting Votes,Mike Phillips_Absentee by Mail Votes,Mike Phillips_Provisional Votes,Mike Phillips_Choice Total,Alicia Wade_Election Day Votes,Alicia Wade_Advanced Voting Votes,Alicia Wade_Absentee by Mail Votes,Alicia Wade_Provisional Votes,Alicia Wade_Choice Total,Total,
0,Lincoln,Lincoln Club House,799,12,22,26,1,61,9,28,13,0,50,23,33,22,0,78,189,
1,Lincoln,Lincoln Center,1489,47,155,42,0,244,32,139,43,0,214,24,48,34,0,106,564,
