index,County,Precinct,Registered Voters,Tim Quarles (Rep)_Election Day Votes,Tim Quarles (Rep)_Advanced Voting Votes,Tim Quarles (Rep)_Absentee by Mail Votes,Tim Quarles (Rep)_Provisional Votes,Tim Quarles (Rep)_Choice Total,Total,
0,Lincoln,Midway,587,118,179,68,0,365,365,
1,Lincoln,Lincoln Club House,799,104,202,97,2,405,405,
2,Lincoln,Lincoln Center,1489,207,589,176,0,972,972,
3,Lincoln,Faith Temple of Lincoln,489,94,152,64,0,310,310,
4,Lincoln,Tabernacle,1003,166,272,94,0,532,532,
5,Lincoln,Bethany Church,575,120,184,67,0,371,371,
6,Lincoln,Martins Crossroad,1234,253,481,138,1,873,873,
