index,County,Precinct,Registered Voters,H. Cooper Cliatt (I) (Rep)_Election Day Votes,H. Cooper Cliatt (I) (Rep)_Advanced Voting Votes,H. Cooper Cliatt (I) (Rep)_Absentee by Mail Votes,H. Cooper Cliatt (I) (Rep)_Provisional Votes,H. Cooper Cliatt (I) (Rep)_Choice Total,"Milton Walker, Sr. (Dem)_Election Day Votes","Milton Walker, Sr. (Dem)_Advanced Voting Votes","Milton Walker, Sr. (Dem)_Absentee by Mail Votes","Milton Walker, Sr. (Dem)_Provisional Votes","Milton Walker, Sr. (Dem)_Choice Total",Total,
0,Lincoln,Faith Temple of Lincoln,489,83,128,39,0,250,13,39,44,0,96,346,
1,Lincoln,Tabernacle,1003,157,257,65,0,479,31,82,120,0,233,712,
