index,County,Precinct,Registered Voters,Amanda Doss (I) (Rep)_Election Day Votes,Amanda Doss (I) (Rep)_Advanced Voting Votes,Amanda Doss (I) (Rep)_Absentee by Mail Votes,Amanda Doss (I) (Rep)_Provisional Votes,Amanda Doss (I) (Rep)_Choice Total,Total,
0,Lincoln,Midway,587,118,176,73,0,367,367,
1,Lincoln,Lincoln Club House,799,104,206,99,2,411,411,
2,Lincoln,Lincoln Center,1489,209,607,175,0,991,991,
3,Lincoln,Faith Temple of Lincoln,489,92,153,63,0,308,308,
4,Lincoln,Tabernacle,1003,168,284,106,0,558,558,
5,Lincoln,Bethany Church,575,124,190,65,0,379,379,
6,Lincoln,Martins Crossroad,1234,257,489,140,1,887,887,
