index,County,Precinct,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
0,Lincoln,Midway,587,114,175,66,0,355,355,
1,Lincoln,Lincoln Club House,799,89,185,76,1,351,351,
2,Lincoln,Lincoln Center,1489,201,604,169,0,974,974,
3,Lincoln,Faith Temple of Lincoln,489,88,139,56,0,283,283,
4,Lincoln,Tabernacle,1003,159,267,85,0,511,511,
5,Lincoln,Bethany Church,575,118,187,64,0,369,369,
6,Lincoln,Martins Crossroad,1234,256,471,119,0,846,846,
