index,County,Precinct,Registered Voters,Stanton Tankersley (I)_Election Day Votes,Stanton Tankersley (I)_Advanced Voting Votes,Stanton Tankersley (I)_Absentee by Mail Votes,Stanton Tankersley (I)_Provisional Votes,Stanton Tankersley (I)_Choice Total,Total,
0,Lincoln,Midway,587,110,167,73,0,350,350,
1,Lincoln,Lincoln Club House,799,103,203,105,2,413,413,
2,Lincoln,Lincoln Center,1489,200,559,169,0,928,928,
3,Lincoln,Faith Temple of Lincoln,489,90,144,68,0,302,302,
4,Lincoln,Tabernacle,1003,162,271,112,0,545,545,
5,Lincoln,Bethany Church,575,110,177,63,0,350,350,
6,Lincoln,Martins Crossroad,1234,245,456,137,1,839,839,
