index,County,Precinct,Registered Voters,Rob Leverett (Rep)_Election Day Votes,Rob Leverett (Rep)_Advanced Voting Votes,Rob Leverett (Rep)_Absentee by Mail Votes,Rob Leverett (Rep)_Provisional Votes,Rob Leverett (Rep)_Choice Total,Kerry Dornell Hamm (Dem)_Election Day Votes,Kerry Dornell Hamm (Dem)_Advanced Voting Votes,Kerry Dornell Hamm (Dem)_Absentee by Mail Votes,Kerry Dornell Hamm (Dem)_Provisional Votes,Kerry Dornell Hamm (Dem)_Choice Total,Total,
0,Lincoln,Midway,587,99,165,45,0,309,31,27,65,0,123,432,
1,Lincoln,Lincoln Club House,799,69,135,28,0,232,54,108,153,2,317,549,
2,Lincoln,Lincoln Center,1489,174,560,130,0,864,45,100,91,0,236,1100,
3,Lincoln,Faith Temple of Lincoln,489,76,122,32,0,230,22,50,48,0,120,350,
4,Lincoln,Tabernacle,1003,131,238,56,0,425,54,102,136,0,292,717,
5,Lincoln,Bethany Church,575,115,173,57,0,345,9,30,24,0,63,408,
6,Lincoln,Martins Crossroad,1234,242,450,104,1,797,24,71,76,0,171,968,
