index,County,Precinct,Registered Voters,Stan Tankersley (Rep)_Election Day Votes,Stan Tankersley (Rep)_Advanced Voting Votes,Stan Tankersley (Rep)_Absentee by Mail Votes,Stan Tankersley (Rep)_Provisional Votes,Stan Tankersley (Rep)_Choice Total,Total,
0,Lincoln,Bethany Church,575,117,177,62,0,356,356,
1,Lincoln,Martins Crossroad,1234,256,460,135,1,852,852,
