index,County,Precinct,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total,
0,Lincoln,Midway,587,95,131,83,0,309,309,
1,Lincoln,Lincoln Club House,799,95,184,146,2,427,427,
2,Lincoln,Lincoln Center,1489,163,464,146,0,773,773,
3,Lincoln,Faith Temple of Lincoln,489,71,122,66,0,259,259,
4,Lincoln,Tabernacle,1003,140,236,150,0,526,526,
5,Lincoln,Bethany Church,575,81,145,54,0,280,280,
6,Lincoln,Martins Crossroad,1234,179,325,121,1,626,626,
