index,County,Precinct,Registered Voters,Walker T. Norman (I) (Rep)_Election Day Votes,Walker T. Norman (I) (Rep)_Advanced Voting Votes,Walker T. Norman (I) (Rep)_Absentee by Mail Votes,Walker T. Norman (I) (Rep)_Provisional Votes,Walker T. Norman (I) (Rep)_Choice Total,Total,
0,Lincoln,Midway,587,114,166,69,0,349,349,
1,Lincoln,Lincoln Club House,799,101,201,106,2,410,410,
2,Lincoln,Lincoln Center,1489,199,566,163,0,928,928,
3,Lincoln,Faith Temple of Lincoln,489,89,151,65,0,305,305,
4,Lincoln,Tabernacle,1003,159,274,102,0,535,535,
5,Lincoln,Bethany Church,575,103,173,61,0,337,337,
6,Lincoln,Martins Crossroad,1234,244,451,133,1,829,829,
