index,County,Precinct,Registered Voters,Brenda T. Danner (I) (Rep)_Election Day Votes,Brenda T. Danner (I) (Rep)_Advanced Voting Votes,Brenda T. Danner (I) (Rep)_Absentee by Mail Votes,Brenda T. Danner (I) (Rep)_Provisional Votes,Brenda T. Danner (I) (Rep)_Choice Total,Total,
0,Lincoln,Midway,587,123,180,81,0,384,384,
1,Lincoln,Lincoln Club House,799,108,205,111,2,426,426,
2,Lincoln,Lincoln Center,1489,206,604,183,0,993,993,
3,Lincoln,Faith Temple of Lincoln,489,94,163,62,0,319,319,
4,Lincoln,Tabernacle,1003,174,292,105,0,571,571,
5,Lincoln,Bethany Church,575,123,189,68,0,380,380,
6,Lincoln,Martins Crossroad,1234,259,482,143,1,885,885,
