index,County,Precinct,Registered Voters,Michael Anderson (Rep)_Election Day Votes,Michael Anderson (Rep)_Advanced Voting Votes,Michael Anderson (Rep)_Absentee by Mail Votes,Michael Anderson (Rep)_Provisional Votes,Michael Anderson (Rep)_Choice Total,Bruce Rogers (I) (Dem)_Election Day Votes,Bruce Rogers (I) (Dem)_Advanced Voting Votes,Bruce Rogers (I) (Dem)_Absentee by Mail Votes,Bruce Rogers (I) (Dem)_Provisional Votes,Bruce Rogers (I) (Dem)_Choice Total,Total,
0,Towns,Young Harris,3323,305,970,283,1,1559,122,440,305,0,867,2426,
1,Towns,Macedonia,3828,268,1236,310,1,1815,103,503,335,2,943,2758,
2,Towns,Hiawassee,3542,232,1222,334,1,1789,69,444,327,3,843,2632,
