index,County,Precinct,Registered Voters,Cecil Ray Dye (I) (Rep)_Election Day Votes,Cecil Ray Dye (I) (Rep)_Advanced Voting Votes,Cecil Ray Dye (I) (Rep)_Absentee by Mail Votes,Cecil Ray Dye (I) (Rep)_Provisional Votes,Cecil Ray Dye (I) (Rep)_Choice Total,Total,
0,Towns,Young Harris,3323,414,1282,499,1,2196,2196,
1,Towns,Macedonia,3828,346,1602,524,2,2474,2474,
2,Towns,Hiawassee,3542,286,1554,539,4,2383,2383,
