index,County,Precinct,Registered Voters,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_Choice Total,Total,
0,Charlton,Folkston,2420,227,600,173,0,1000,1000,
1,Charlton,GA Bend,509,224,59,42,0,325,325,
2,Charlton,St George,661,215,135,52,1,403,403,
3,Charlton,American Legion,748,128,329,65,0,522,522,
4,Charlton,Homeland,864,164,337,52,0,553,553,
5,Charlton,Folkston Fire,767,77,369,56,0,502,502,
