index,County,Precinct,Registered Voters,Matthew P. Sands (I) (Rep)_Election Day Votes,Matthew P. Sands (I) (Rep)_Advanced Voting Votes,Matthew P. Sands (I) (Rep)_Absentee by Mail Votes,Matthew P. Sands (I) (Rep)_Provisional Votes,Matthew P. Sands (I) (Rep)_Choice Total,Total,
0,Charlton,Folkston,2420,0,5,0,0,5,5,
1,Charlton,American Legion,748,114,299,68,0,481,481,
2,Charlton,Homeland,864,157,327,58,0,542,542,
