index,County,Precinct,Registered Voters,Blaine Murray (I) (Rep)_Election Day Votes,Blaine Murray (I) (Rep)_Advanced Voting Votes,Blaine Murray (I) (Rep)_Absentee by Mail Votes,Blaine Murray (I) (Rep)_Provisional Votes,Blaine Murray (I) (Rep)_Choice Total,Total,
0,Charlton,Folkston,2420,246,662,200,0,1108,1108,
1,Charlton,GA Bend,509,223,59,42,0,324,324,
2,Charlton,St George,661,219,131,50,1,401,401,
3,Charlton,American Legion,748,132,346,66,0,544,544,
4,Charlton,Homeland,864,165,341,60,0,566,566,
5,Charlton,Folkston Fire,767,77,372,61,0,510,510,
6,Charlton,Racepond,266,65,109,19,1,194,194,
7,Charlton,Winokur,317,93,94,23,0,210,210,
