index,County,Precinct,Registered Voters,Steven Sainz (I) (Rep)_Election Day Votes,Steven Sainz (I) (Rep)_Advanced Voting Votes,Steven Sainz (I) (Rep)_Absentee by Mail Votes,Steven Sainz (I) (Rep)_Provisional Votes,Steven Sainz (I) (Rep)_Choice Total,Total,
0,Charlton,American Legion,748,6,16,1,0,23,23,
1,Charlton,Racepond,266,66,108,19,1,194,194,
2,Charlton,Winokur,317,93,91,23,0,207,207,
