index,County,Precinct,Registered Voters,Wendy Whitaker-Lee (I) (Rep)_Election Day Votes,Wendy Whitaker-Lee (I) (Rep)_Advanced Voting Votes,Wendy Whitaker-Lee (I) (Rep)_Absentee by Mail Votes,Wendy Whitaker-Lee (I) (Rep)_Provisional Votes,Wendy Whitaker-Lee (I) (Rep)_Choice Total,Total,
0,Charlton,Folkston,2420,242,662,195,0,1099,1099,
1,Charlton,GA Bend,509,224,58,39,0,321,321,
2,Charlton,St George,661,217,130,49,1,397,397,
3,Charlton,American Legion,748,130,341,65,0,536,536,
4,Charlton,Homeland,864,168,328,55,0,551,551,
5,Charlton,Folkston Fire,767,78,365,59,0,502,502,
6,Charlton,Racepond,266,68,109,17,1,195,195,
7,Charlton,Winokur,317,92,93,23,0,208,208,
