index,County,Precinct,Registered Voters,Jesse Crews (I) (Rep)_Election Day Votes,Jesse Crews (I) (Rep)_Advanced Voting Votes,Jesse Crews (I) (Rep)_Absentee by Mail Votes,Jesse Crews (I) (Rep)_Provisional Votes,Jesse Crews (I) (Rep)_Choice Total,Total,
0,Charlton,GA Bend,509,221,58,38,0,317,317,
1,Charlton,St George,661,215,127,47,1,390,390,
