index,County,Precinct,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
0,Charlton,Folkston,2420,225,593,160,0,978,978,
1,Charlton,American Legion,748,35,96,16,0,147,147,
2,Charlton,Homeland,864,159,322,55,0,536,536,
3,Charlton,Folkston Fire,767,77,359,57,0,493,493,
4,Charlton,Racepond,266,31,31,5,0,67,67,
5,Charlton,Winokur,317,88,90,22,0,200,200,
