County,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_TOTAL VOTES,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_TOTAL VOTES,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_TOTAL VOTES,Total,
Polk,2762,1645,8862,13,13282,614,1004,1914,5,3537,112,89,214,1,416,17235,
Pulaski,332,314,2141,0,2787,153,309,677,0,1139,17,14,48,0,79,4005,
Putnam,1536,1764,4978,1,8279,461,1374,1464,0,3299,56,60,73,0,189,11767,
Quitman,158,93,349,0,600,156,125,188,1,470,8,3,4,0,15,1085,
Rabun,1167,1652,4573,0,7392,188,794,843,0,1825,66,78,111,0,255,9472,
Randolph,321,217,866,0,1404,395,437,771,3,1606,9,6,16,0,31,3041,
Richmond,8524,6321,12128,0,26973,11595,19799,25080,0,56474,699,645,769,0,2113,85560,
Rockdale,2418,2949,7335,14,12716,3574,8964,18083,20,30641,217,227,462,0,906,44263,
Schley,303,154,1325,1,1783,63,142,234,0,439,7,9,18,0,34,2256,
Screven,1243,524,2117,8,3892,601,729,1251,8,2589,29,7,29,0,65,6546,
Seminole,934,271,1392,0,2597,291,239,657,0,1187,21,7,26,0,54,3838,
Spalding,5118,3413,8720,517,17768,2550,3957,4498,350,11355,237,193,190,21,641,29764,
Stephens,1204,1379,6766,4,9353,289,687,1211,0,2187,54,56,118,0,228,11768,
Stewart,225,116,457,5,803,282,349,477,7,1115,13,4,18,0,35,1953,
Sumter,1510,840,3381,12,5743,1122,1930,3056,6,6114,49,30,86,0,165,12022,
Talbot,465,240,680,1,1386,528,874,611,0,2013,18,15,18,0,51,3450,
Taliaferro,99,66,201,0,366,97,210,214,0,521,2,8,5,0,15,902,
Tattnall,1492,804,3658,0,5954,412,508,1058,0,1978,57,29,73,0,159,8091,
Taylor,346,298,1743,12,2399,273,451,586,2,1312,12,16,53,0,81,3792,
Telfair,932,356,1461,2,2751,309,578,541,6,1434,25,11,32,1,69,4254,
Terrell,675,273,1092,0,2040,548,805,923,1,2277,18,14,26,0,58,4375,
Thomas,2708,1665,8646,1,13020,1387,2199,4568,4,8158,138,82,202,0,422,21600,
Tift,2703,1247,6853,11,10814,1048,1304,2590,14,4956,104,54,145,2,305,16075,
Toombs,1778,1191,4820,4,7793,574,1001,1251,6,2832,43,45,85,0,173,10798,
Towns,955,1199,4129,8,6291,123,655,672,1,1451,34,49,63,0,146,7888,
Treutlen,405,280,1393,0,2078,119,269,505,0,893,18,8,26,0,52,3023,
Troup,4656,2906,10556,47,18165,2736,3238,5118,26,11118,205,114,214,3,536,29819,
Turner,366,234,1733,1,2334,322,269,753,1,1345,20,8,34,0,62,3741,
Twiggs,807,316,1190,0,2313,431,686,862,2,1981,35,19,33,0,87,4381,
Union,3327,2184,6901,11,12423,292,1169,1155,0,2616,102,91,146,0,339,15378,
Upson,1355,1170,6038,5,8568,616,1474,1910,0,4000,54,55,107,0,216,12784,
