index,County,Precinct,Registered Voters,Mark NeSmith (I) (Rep)_Election Day Votes,Mark NeSmith (I) (Rep)_Advanced Voting Votes,Mark NeSmith (I) (Rep)_Absentee by Mail Votes,Mark NeSmith (I) (Rep)_Provisional Votes,Mark NeSmith (I) (Rep)_Choice Total,Total,
0,Thomas,Barwick,630,138,229,53,0,420,420,
1,Thomas,Boston,1632,50,75,26,0,151,151,
2,Thomas,Central,3523,30,188,26,1,245,245,
3,Thomas,Coolidge,983,15,20,4,0,39,39,
4,Thomas,Gatlin Creek,2069,41,207,40,0,288,288,
5,Thomas,Pavo,673,186,187,55,0,428,428,
6,Thomas,Patten,397,47,86,12,0,145,145,
