index,County,Precinct,Registered Voters,Randa D. Wharton (I) (Rep)_Election Day Votes,Randa D. Wharton (I) (Rep)_Advanced Voting Votes,Randa D. Wharton (I) (Rep)_Absentee by Mail Votes,Randa D. Wharton (I) (Rep)_Provisional Votes,Randa D. Wharton (I) (Rep)_Choice Total,Total,
0,Thomas,Barwick,630,133,233,50,0,416,416,
1,Thomas,Boston,1632,219,470,143,0,832,832,
2,Thomas,Central,3523,240,1517,320,0,2077,2077,
3,Thomas,Coolidge,983,230,301,73,0,604,604,
4,Thomas,Douglass,2448,172,505,139,0,816,816,
5,Thomas,LIttle Ochlocknee Baptist Church1132,223,497,92,0,812,812,,
6,Thomas,Fire Station #2,1404,141,645,178,0,964,964,
7,Thomas,Gatlin Creek,2069,240,913,198,0,1351,1351,
8,Thomas,Harper,2001,115,443,148,0,706,706,
9,Thomas,Jerger,1898,133,823,247,0,1203,1203,
10,Thomas,Meigs,864,194,191,67,1,453,453,
11,Thomas,Metcalfe,299,86,81,25,0,192,192,
12,Thomas,New Covenant,2155,249,933,190,0,1372,1372,
13,Thomas,Ochlocknee,1175,288,388,59,0,735,735,
14,Thomas,Pavo,673,193,195,53,0,441,441,
15,Thomas,Remington Esc,2190,192,818,231,0,1241,1241,
16,Thomas,Resource Center,1363,81,212,130,0,423,423,
17,Thomas,Scott,2491,169,1093,240,1,1503,1503,
18,Thomas,Merrillville,701,64,296,45,0,405,405,
19,Thomas,Patten,397,88,161,26,0,275,275,
