index,County,Precinct,Registered Voters,Russ Goodman (Rep)_Election Day Votes,Russ Goodman (Rep)_Advanced Voting Votes,Russ Goodman (Rep)_Absentee by Mail Votes,Russ Goodman (Rep)_Provisional Votes,Russ Goodman (Rep)_Choice Total,Treva Gear (Dem)_Election Day Votes,Treva Gear (Dem)_Advanced Voting Votes,Treva Gear (Dem)_Absentee by Mail Votes,Treva Gear (Dem)_Provisional Votes,Treva Gear (Dem)_Choice Total,Total,
0,Thomas,Barwick,630,122,211,43,0,376,32,40,18,0,90,466,
1,Thomas,Boston,1632,154,361,78,0,593,115,248,152,0,515,1108,
2,Thomas,Gatlin Creek,2069,211,806,148,0,1165,48,215,110,0,373,1538,
3,Thomas,Pavo,673,182,175,37,0,394,17,32,39,0,88,482,
