index,County,Precinct,Registered Voters,Zippy Vonier (Rep)_Election Day Votes,Zippy Vonier (Rep)_Advanced Voting Votes,Zippy Vonier (Rep)_Absentee by Mail Votes,Zippy Vonier (Rep)_Provisional Votes,Zippy Vonier (Rep)_Choice Total,Total,
0,Thomas,Central,3523,181,1155,269,0,1605,1605,
1,Thomas,Gatlin Creek,2069,117,485,91,0,693,693,
2,Thomas,New Covenant,2155,53,133,28,0,214,214,
3,Thomas,Remington Esc,2190,17,117,35,0,169,169,
4,Thomas,Scott,2491,1,15,5,0,21,21,
