index,County,Precinct,Registered Voters,John LaHood (I) (Rep)_Election Day Votes,John LaHood (I) (Rep)_Advanced Voting Votes,John LaHood (I) (Rep)_Absentee by Mail Votes,John LaHood (I) (Rep)_Provisional Votes,John LaHood (I) (Rep)_Choice Total,Total,
0,Thomas,Barwick,630,135,234,53,0,422,422,
1,Thomas,Boston,1632,218,457,135,0,810,810,
2,Thomas,Central,3523,233,1498,315,0,2046,2046,
3,Thomas,Fire Station #2,1404,7,41,8,0,56,56,
4,Thomas,Gatlin Creek,2069,233,911,193,0,1337,1337,
5,Thomas,Jerger,1898,133,801,241,0,1175,1175,
6,Thomas,Pavo,673,193,195,52,0,440,440,
7,Thomas,Remington Esc,2190,0,0,0,0,0,0,
8,Thomas,Patten,397,89,161,25,0,275,275,
