index,County,Precinct,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
0,Thomas,Central,3523,235,1499,312,1,2047,2047,
1,Thomas,Coolidge,983,223,294,69,0,586,586,
2,Thomas,Douglass,2448,164,489,133,0,786,786,
3,Thomas,LIttle Ochlocknee Baptist Church1132,221,489,90,0,800,800,,
4,Thomas,Fire Station #2,1404,142,625,178,0,945,945,
5,Thomas,Harper,2001,112,428,143,0,683,683,
6,Thomas,Jerger,1898,129,803,241,0,1173,1173,
7,Thomas,Meigs,864,187,184,68,1,440,440,
8,Thomas,Metcalfe,299,84,79,23,0,186,186,
9,Thomas,New Covenant,2155,245,921,193,0,1359,1359,
10,Thomas,Ochlocknee,1175,285,382,54,0,721,721,
11,Thomas,Remington Esc,2190,190,819,231,0,1240,1240,
12,Thomas,Resource Center,1363,83,202,108,0,393,393,
13,Thomas,Scott,2491,162,1079,234,1,1476,1476,
14,Thomas,Merrillville,701,67,293,45,0,405,405,
15,Thomas,Patten,397,86,162,25,0,273,273,
