index,County,Precinct,Registered Voters,Sam Watson (I) (Rep)_Election Day Votes,Sam Watson (I) (Rep)_Advanced Voting Votes,Sam Watson (I) (Rep)_Absentee by Mail Votes,Sam Watson (I) (Rep)_Provisional Votes,Sam Watson (I) (Rep)_Choice Total,Total,
0,Thomas,Coolidge,983,229,301,71,0,601,601,
1,Thomas,LIttle Ochlocknee Baptist Church1132,222,496,90,0,808,808,,
2,Thomas,Meigs,864,194,192,71,1,458,458,
3,Thomas,Ochlocknee,1175,289,388,56,0,733,733,
4,Thomas,Merrillville,701,65,299,48,0,412,412,
