index,County,Precinct,Registered Voters,Alicia Hester (I) (Dem)_Election Day Votes,Alicia Hester (I) (Dem)_Advanced Voting Votes,Alicia Hester (I) (Dem)_Absentee by Mail Votes,Alicia Hester (I) (Dem)_Provisional Votes,Alicia Hester (I) (Dem)_Choice Total,Total,
0,Thomas,Barwick,630,129,203,55,0,387,387,
1,Thomas,Boston,1632,236,543,218,0,997,997,
2,Thomas,Central,3523,234,1498,418,0,2150,2150,
3,Thomas,Coolidge,983,225,272,86,0,583,583,
4,Thomas,Douglass,2448,262,805,281,0,1348,1348,
5,Thomas,LIttle Ochlocknee Baptist Church1132,183,475,101,0,759,759,,
6,Thomas,Fire Station #2,1404,123,611,191,0,925,925,
7,Thomas,Gatlin Creek,2069,217,873,225,0,1315,1315,
8,Thomas,Harper,2001,176,681,326,0,1183,1183,
9,Thomas,Jerger,1898,148,822,281,0,1251,1251,
10,Thomas,Meigs,864,243,183,75,1,502,502,
11,Thomas,Metcalfe,299,74,75,35,0,184,184,
12,Thomas,New Covenant,2155,230,866,221,0,1317,1317,
13,Thomas,Ochlocknee,1175,242,343,59,1,645,645,
14,Thomas,Pavo,673,168,158,70,0,396,396,
15,Thomas,Remington Esc,2190,203,872,299,0,1374,1374,
16,Thomas,Resource Center,1363,140,453,244,0,837,837,
17,Thomas,Scott,2491,171,1156,331,2,1660,1660,
18,Thomas,Merrillville,701,65,282,77,0,424,424,
19,Thomas,Patten,397,79,148,28,0,255,255,
