index,County,Precinct,Registered Voters,Dan Cecil Stewart (I) (Rep)_Election Day Votes,Dan Cecil Stewart (I) (Rep)_Advanced Voting Votes,Dan Cecil Stewart (I) (Rep)_Absentee by Mail Votes,Dan Cecil Stewart (I) (Rep)_Provisional Votes,Dan Cecil Stewart (I) (Rep)_Choice Total,Total,
0,Thomas,Fire Station #2,1404,101,429,123,0,653,653,
1,Thomas,Meigs,864,7,27,3,0,37,37,
2,Thomas,Metcalfe,299,55,46,10,0,111,111,
3,Thomas,New Covenant,2155,62,309,48,0,419,419,
4,Thomas,Ochlocknee,1175,144,301,41,0,486,486,
