index,County,Precinct,Registered Voters,Mark A. NeSmith (I) (Rep)_Election Day Votes,Mark A. NeSmith (I) (Rep)_Advanced Voting Votes,Mark A. NeSmith (I) (Rep)_Absentee by Mail Votes,Mark A. NeSmith (I) (Rep)_Provisional Votes,Mark A. NeSmith (I) (Rep)_Choice Total,Total,
0,Thomas,Central,3523,59,361,48,1,469,469,
1,Thomas,Coolidge,983,234,301,76,0,611,611,
2,Thomas,New Covenant,2155,57,259,67,0,383,383,
3,Thomas,Pavo,673,162,164,48,0,374,374,
4,Thomas,Merrillville,701,67,302,49,0,418,418,
5,Thomas,Patten,397,45,79,14,0,138,138,
