index,County,Precinct,Registered Voters,Eddie Johnson (I) (Dem)_Election Day Votes,Eddie Johnson (I) (Dem)_Advanced Voting Votes,Eddie Johnson (I) (Dem)_Absentee by Mail Votes,Eddie Johnson (I) (Dem)_Provisional Votes,Eddie Johnson (I) (Dem)_Choice Total,Total,
0,Newton,Livingston,4593,311,547,419,1,1278,1278,
1,Newton,Downs,6215,604,993,632,0,2229,2229,
2,Newton,Buck Creek,4839,700,929,817,1,2447,2447,
3,Newton,Stansells,4969,596,1215,831,0,2642,2642,
