index,County,Precinct,Registered Voters,Dana Darby (I) (Rep)_Election Day Votes,Dana Darby (I) (Rep)_Advanced Voting Votes,Dana Darby (I) (Rep)_Absentee by Mail Votes,Dana Darby (I) (Rep)_Provisional Votes,Dana Darby (I) (Rep)_Choice Total,Marcus Jordan (Dem)_Election Day Votes,Marcus Jordan (Dem)_Advanced Voting Votes,Marcus Jordan (Dem)_Absentee by Mail Votes,Marcus Jordan (Dem)_Provisional Votes,Marcus Jordan (Dem)_Choice Total,Total,
0,Newton,City Pond,1833,176,149,99,0,424,188,181,248,0,617,1041,
1,Newton,Town,4378,213,241,190,0,644,519,612,756,1,1888,2532,
2,Newton,Almon,5009,285,307,215,0,807,507,1219,906,4,2636,3443,
3,Newton,Alcovy,4620,614,742,475,1,1832,281,715,505,2,1503,3335,
4,Newton,Covington Mills,3111,366,372,267,0,1005,275,397,344,0,1016,2021,
5,Newton,Brewers,3538,1101,477,288,2,1868,206,210,219,2,637,2505,
6,Newton,Brick Store,2623,771,442,299,0,1512,132,181,179,0,492,2004,
7,Newton,Cedar Shoals,2838,373,241,164,0,778,270,348,331,1,950,1728,
8,Newton,Livingston,4593,338,342,202,2,884,425,908,691,3,2027,2911,
9,Newton,Downs,6215,784,893,347,1,2025,476,1018,801,0,2295,4320,
10,Newton,Gum Creek,4135,956,815,564,1,2336,135,386,319,0,840,3176,
11,Newton,Beaverdam,5428,244,333,191,1,769,580,1337,884,2,2803,3572,
12,Newton,Leguinn,2177,728,297,222,3,1250,115,111,143,0,369,1619,
13,Newton,Mansfield,1524,788,167,137,0,1092,44,22,55,0,121,1213,
14,Newton,Newborn,784,398,62,57,0,517,45,12,34,0,91,608,
15,Newton,Oxford,2418,560,392,329,0,1281,137,150,214,1,502,1783,
16,Newton,Rocky Plains,3658,580,521,231,1,1333,286,427,336,1,1050,2383,
17,Newton,Buck Creek,4839,542,579,307,2,1430,404,684,679,0,1767,3197,
18,Newton,Stansells,4969,249,315,249,0,813,488,1120,749,0,2357,3170,
19,Newton,Fairview,2953,68,109,69,2,248,395,651,495,1,1542,1790,
20,Newton,Crowell,4977,138,178,108,0,424,537,1287,856,2,2682,3106,
21,Newton,Hub,2374,873,427,311,1,1612,76,112,100,0,288,1900,
