index,County,Precinct,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,
0,Newton,City Pond,1833,162,141,87,0,390,195,183,259,0,637,1027,
1,Newton,Town,4378,196,208,159,0,563,528,627,791,1,1947,2510,
2,Newton,Almon,5009,257,271,175,0,703,531,1232,927,3,2693,3396,
3,Newton,Alcovy,4620,481,552,332,1,1366,314,741,555,2,1612,2978,
4,Newton,Covington Mills,3111,343,334,219,1,897,290,427,389,0,1106,2003,
5,Newton,Cedar Shoals,2838,343,218,139,0,700,292,361,344,1,998,1698,
6,Newton,Livingston,4593,314,315,157,3,789,442,917,738,4,2101,2890,
7,Newton,Downs,6215,740,839,314,1,1894,505,1064,832,0,2401,4295,
8,Newton,Gum Creek,4135,901,770,506,1,2178,175,418,365,0,958,3136,
9,Newton,Beaverdam,5428,212,282,161,0,655,597,1366,904,2,2869,3524,
10,Newton,Oxford,2418,522,371,256,0,1149,169,166,267,1,603,1752,
11,Newton,Rocky Plains,3658,85,46,21,1,153,55,72,59,0,186,339,
12,Newton,Buck Creek,4839,489,552,278,1,1320,445,709,710,1,1865,3185,
13,Newton,Stansells,4969,222,293,203,0,718,513,1131,786,0,2430,3148,
14,Newton,Fairview,2953,63,91,62,1,217,392,657,501,2,1552,1769,
15,Newton,Crowell,4977,110,152,98,0,360,558,1303,860,2,2723,3083,
