index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Newton,City Pond,1833,172,140,86,0,398,193,188,261,0,642,8,8,5,0,21,1061,
1,Newton,Town,4378,203,228,174,0,605,538,636,776,1,1951,6,5,14,0,25,2581,
2,Newton,Almon,5009,284,288,191,0,763,507,1260,934,4,2705,13,4,11,0,28,3496,
3,Newton,Alcovy,4620,568,702,416,1,1687,313,760,580,2,1655,27,13,11,0,51,3393,
4,Newton,Covington Mills,3111,356,341,248,1,946,275,440,370,0,1085,16,3,4,0,23,2054,
5,Newton,Brewers,3538,1103,475,265,2,1845,205,219,250,2,676,13,6,6,0,25,2546,
6,Newton,Brick Store,2623,748,426,267,0,1441,148,201,215,0,564,18,5,6,0,29,2034,
7,Newton,Cedar Shoals,2838,366,233,160,0,759,276,361,342,1,980,14,4,3,0,21,1760,
8,Newton,Livingston,4593,338,325,171,3,837,424,927,739,4,2094,14,7,14,0,35,2966,
9,Newton,Downs,6215,758,868,327,1,1954,485,1049,840,0,2374,28,17,9,0,54,4382,
10,Newton,Gum Creek,4135,930,794,519,1,2244,167,411,365,0,943,12,4,9,0,25,3212,
11,Newton,Beaverdam,5428,228,309,173,0,710,596,1366,907,3,2872,11,9,11,0,31,3613,
12,Newton,Leguinn,2177,720,294,210,3,1227,116,120,165,0,401,11,2,3,0,16,1644,
13,Newton,Mansfield,1524,774,168,124,0,1066,55,22,68,0,145,6,1,4,0,11,1222,
14,Newton,Newborn,784,386,59,49,0,494,51,14,44,0,109,11,1,1,0,13,616,
15,Newton,Oxford,2418,544,376,283,1,1204,150,170,266,0,586,11,2,7,0,20,1810,
16,Newton,Rocky Plains,3658,578,502,216,1,1297,286,449,369,1,1105,16,6,8,0,30,2432,
17,Newton,Buck Creek,4839,529,574,291,1,1395,417,712,705,1,1835,19,6,6,0,31,3261,
18,Newton,Stansells,4969,257,320,228,0,805,498,1138,780,0,2416,8,5,10,0,23,3244,
19,Newton,Fairview,2953,68,100,63,2,233,394,669,509,1,1573,6,4,2,0,12,1818,
20,Newton,Crowell,4977,124,168,107,0,399,558,1319,864,2,2743,6,8,7,0,21,3163,
21,Newton,Hub,2374,854,413,292,1,1560,93,125,122,0,340,15,9,7,0,31,1931,
