index,County,Precinct,Registered Voters,Stan Edwards (I) (Rep)_Election Day Votes,Stan Edwards (I) (Rep)_Advanced Voting Votes,Stan Edwards (I) (Rep)_Absentee by Mail Votes,Stan Edwards (I) (Rep)_Provisional Votes,Stan Edwards (I) (Rep)_Choice Total,Catalata Hardeman (Dem)_Election Day Votes,Catalata Hardeman (Dem)_Advanced Voting Votes,Catalata Hardeman (Dem)_Absentee by Mail Votes,Catalata Hardeman (Dem)_Provisional Votes,Catalata Hardeman (Dem)_Choice Total,Total,
0,Newton,Brewers,3538,1022,448,266,1,1737,193,202,192,1,588,2325,
1,Newton,Brick Store,2623,769,443,301,0,1513,130,174,180,0,484,1997,
2,Newton,Downs,6215,278,305,127,0,710,151,306,270,0,727,1437,
3,Newton,Mansfield,1524,756,165,126,0,1047,42,18,57,0,117,1164,
4,Newton,Newborn,784,389,60,59,0,508,48,13,31,0,92,600,
5,Newton,Rocky Plains,3658,571,507,227,0,1305,290,434,343,1,1068,2373,
6,Newton,Hub,2374,615,250,200,0,1065,34,38,45,0,117,1182,
