index,County,Precinct,Registered Voters,Sharon Henderson (Dem)_Election Day Votes,Sharon Henderson (Dem)_Advanced Voting Votes,Sharon Henderson (Dem)_Absentee by Mail Votes,Sharon Henderson (Dem)_Provisional Votes,Sharon Henderson (Dem)_Choice Total,Total,
0,Newton,Town,4378,639,696,811,1,2147,2147,
1,Newton,Almon,5009,665,1354,994,2,3015,3015,
2,Newton,Covington Mills,3111,142,162,98,0,402,402,
3,Newton,Cedar Shoals,2838,458,452,410,1,1321,1321,
4,Newton,Livingston,4593,284,511,392,1,1188,1188,
5,Newton,Beaverdam,5428,697,1488,961,2,3148,3148,
6,Newton,Buck Creek,4839,681,926,815,2,2424,2424,
7,Newton,Stansells,4969,623,1245,872,0,2740,2740,
8,Newton,Fairview,2953,433,712,520,2,1667,1667,
9,Newton,Crowell,4977,610,1372,891,2,2875,2875,
