index,County,Precinct,Registered Voters,Melanie McCrorey Bell (I) (Rep)_Election Day Votes,Melanie McCrorey Bell (I) (Rep)_Advanced Voting Votes,Melanie McCrorey Bell (I) (Rep)_Absentee by Mail Votes,Melanie McCrorey Bell (I) (Rep)_Provisional Votes,Melanie McCrorey Bell (I) (Rep)_Choice Total,Total,
0,Newton,City Pond,1833,252,219,200,0,671,671,
1,Newton,Town,4378,495,522,518,0,1535,1535,
2,Newton,Almon,5009,558,840,576,2,1976,1976,
3,Newton,Alcovy,4620,727,1010,659,2,2398,2398,
4,Newton,Covington Mills,3111,516,504,402,0,1422,1422,
5,Newton,Brewers,3538,1182,566,353,4,2105,2105,
6,Newton,Brick Store,2623,824,497,360,0,1681,1681,
7,Newton,Cedar Shoals,2838,521,393,298,0,1212,1212,
8,Newton,Livingston,4593,574,744,504,4,1826,1826,
9,Newton,Downs,6215,1007,1351,687,1,3046,3046,
10,Newton,Gum Creek,4135,1011,947,655,1,2614,2614,
11,Newton,Beaverdam,5428,528,956,556,2,2042,2042,
12,Newton,Leguinn,2177,773,343,277,3,1396,1396,
13,Newton,Mansfield,1524,789,172,150,0,1111,1111,
14,Newton,Newborn,784,408,63,67,0,538,538,
15,Newton,Oxford,2418,614,444,394,1,1453,1453,
16,Newton,Rocky Plains,3658,737,718,383,0,1838,1838,
17,Newton,Buck Creek,4839,771,894,583,2,2250,2250,
18,Newton,Stansells,4969,490,812,511,0,1813,1813,
19,Newton,Fairview,2953,282,415,264,2,963,963,
20,Newton,Crowell,4977,416,735,443,1,1595,1595,
21,Newton,Hub,2374,907,488,340,1,1736,1736,
