index,County,Precinct,Registered Voters,Brad Hawk (Rep)_Election Day Votes,Brad Hawk (Rep)_Advanced Voting Votes,Brad Hawk (Rep)_Absentee by Mail Votes,Brad Hawk (Rep)_Provisional Votes,Brad Hawk (Rep)_Choice Total,Ann Ballard (Dem)_Election Day Votes,Ann Ballard (Dem)_Advanced Voting Votes,Ann Ballard (Dem)_Absentee by Mail Votes,Ann Ballard (Dem)_Provisional Votes,Ann Ballard (Dem)_Choice Total,Total,
0,Morgan,Central Morgan,2761,19,132,15,0,166,3,32,12,0,47,213,
1,Morgan,North Morgan,2690,459,930,209,0,1598,76,247,133,1,457,2055,
