index,County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
0,Morgan,Northeast Morgan,2919,106,738,135,0,979,149,617,353,1,1120,2099,
1,Morgan,East Morgan,2228,424,878,146,2,1450,57,195,106,0,358,1808,
2,Morgan,Beth/Springfield,862,148,335,75,0,558,23,45,61,0,129,687,
3,Morgan,Central Morgan,2761,210,1146,227,0,1583,80,298,180,0,558,2141,
4,Morgan,Clacks Chapel,709,135,333,43,0,511,10,42,31,0,83,594,
5,Morgan,West Morgan,2655,416,1134,166,0,1716,75,202,100,0,377,2093,
6,Morgan,North Morgan,2690,465,938,214,1,1618,68,241,126,1,436,2054,
