index,County,Precinct,Registered Voters,Dave Belton (I) (Rep)_Election Day Votes,Dave Belton (I) (Rep)_Advanced Voting Votes,Dave Belton (I) (Rep)_Absentee by Mail Votes,Dave Belton (I) (Rep)_Provisional Votes,Dave Belton (I) (Rep)_Choice Total,Total,
0,Morgan,Northeast Morgan,2919,200,1027,289,0,1516,1516,
1,Morgan,East Morgan,2228,460,972,190,2,1624,1624,
2,Morgan,Beth/Springfield,862,158,356,91,0,605,605,
3,Morgan,Central Morgan,2761,265,1301,283,0,1849,1849,
4,Morgan,Clacks Chapel,709,140,347,55,0,542,542,
5,Morgan,West Morgan,2655,455,1233,203,0,1891,1891,
6,Morgan,North Morgan,2690,505,1044,255,1,1805,1805,
