index,County,Precinct,Registered Voters,Bill Kurtz (Rep)_Election Day Votes,Bill Kurtz (Rep)_Advanced Voting Votes,Bill Kurtz (Rep)_Absentee by Mail Votes,Bill Kurtz (Rep)_Provisional Votes,Bill Kurtz (Rep)_Choice Total,Total,
0,Morgan,East Morgan,2228,454,972,193,2,1621,1621,
1,Morgan,Beth/Springfield,862,158,352,93,0,603,603,
