index,County,Precinct,Registered Voters,Philipp Von Hanstein (I) (Rep)_Election Day Votes,Philipp Von Hanstein (I) (Rep)_Advanced Voting Votes,Philipp Von Hanstein (I) (Rep)_Absentee by Mail Votes,Philipp Von Hanstein (I) (Rep)_Provisional Votes,Philipp Von Hanstein (I) (Rep)_Choice Total,Total,
0,Morgan,Central Morgan,2761,197,945,232,0,1374,1374,
1,Morgan,Clacks Chapel,709,140,347,60,0,547,547,
