index,County,Precinct,Registered Voters,Robert Markley (I) (Rep)_Election Day Votes,Robert Markley (I) (Rep)_Advanced Voting Votes,Robert Markley (I) (Rep)_Absentee by Mail Votes,Robert Markley (I) (Rep)_Provisional Votes,Robert Markley (I) (Rep)_Choice Total,Total,
0,Morgan,Northeast Morgan,2919,220,1174,364,0,1758,1758,
1,Morgan,East Morgan,2228,465,1009,214,2,1690,1690,
2,Morgan,Beth/Springfield,862,161,362,108,0,631,631,
3,Morgan,Central Morgan,2761,269,1357,326,0,1952,1952,
4,Morgan,Clacks Chapel,709,141,349,63,0,553,553,
5,Morgan,West Morgan,2655,458,1258,228,0,1944,1944,
6,Morgan,North Morgan,2690,512,1091,285,1,1889,1889,
