index,County,Precinct,Registered Voters,Jody Milford Higdon (I) (Rep)_Election Day Votes,Jody Milford Higdon (I) (Rep)_Advanced Voting Votes,Jody Milford Higdon (I) (Rep)_Absentee by Mail Votes,Jody Milford Higdon (I) (Rep)_Provisional Votes,Jody Milford Higdon (I) (Rep)_Choice Total,Total,
0,Morgan,Northeast Morgan,2919,200,1058,303,0,1561,1561,
1,Morgan,East Morgan,2228,457,975,189,2,1623,1623,
2,Morgan,Beth/Springfield,862,160,350,91,0,601,601,
3,Morgan,Central Morgan,2761,261,1320,300,0,1881,1881,
4,Morgan,Clacks Chapel,709,137,349,59,0,545,545,
5,Morgan,West Morgan,2655,448,1241,213,0,1902,1902,
6,Morgan,North Morgan,2690,501,1045,272,2,1820,1820,
