index,County,Precinct,Registered Voters,Wendy Coe (Rep)_Election Day Votes,Wendy Coe (Rep)_Advanced Voting Votes,Wendy Coe (Rep)_Absentee by Mail Votes,Wendy Coe (Rep)_Provisional Votes,Wendy Coe (Rep)_Choice Total,Sheila Terrell Sanders (Dem)_Election Day Votes,Sheila Terrell Sanders (Dem)_Advanced Voting Votes,Sheila Terrell Sanders (Dem)_Absentee by Mail Votes,Sheila Terrell Sanders (Dem)_Provisional Votes,Sheila Terrell Sanders (Dem)_Choice Total,Total,
0,Morgan,Northeast Morgan,2919,101,720,139,0,960,158,654,351,1,1164,2124,
1,Morgan,East Morgan,2228,413,874,144,2,1433,73,198,111,0,382,1815,
2,Morgan,Beth/Springfield,862,145,331,73,0,549,26,51,62,0,139,688,
3,Morgan,Central Morgan,2761,200,1112,226,0,1538,89,342,174,0,605,2143,
4,Morgan,Clacks Chapel,709,130,325,42,0,497,16,48,33,0,97,594,
5,Morgan,West Morgan,2655,397,1102,175,0,1674,93,234,92,0,419,2093,
6,Morgan,North Morgan,2690,467,940,221,0,1628,73,241,122,2,438,2066,
