index,County,Precinct,Registered Voters,Adam E. Carter (I) (Rep)_Election Day Votes,Adam E. Carter (I) (Rep)_Advanced Voting Votes,Adam E. Carter (I) (Rep)_Absentee by Mail Votes,Adam E. Carter (I) (Rep)_Provisional Votes,Adam E. Carter (I) (Rep)_Choice Total,Total,
0,Morgan,Northeast Morgan,2919,213,1130,338,1,1682,1682,
1,Morgan,East Morgan,2228,463,995,203,2,1663,1663,
2,Morgan,Beth/Springfield,862,161,363,97,0,621,621,
3,Morgan,Central Morgan,2761,270,1341,318,0,1929,1929,
4,Morgan,Clacks Chapel,709,141,353,65,0,559,559,
5,Morgan,West Morgan,2655,459,1262,222,0,1943,1943,
6,Morgan,North Morgan,2690,511,1078,282,1,1872,1872,
