index,County,Precinct,Registered Voters,Olivia Ann Rozier (Dem)_Election Day Votes,Olivia Ann Rozier (Dem)_Advanced Voting Votes,Olivia Ann Rozier (Dem)_Absentee by Mail Votes,Olivia Ann Rozier (Dem)_Provisional Votes,Olivia Ann Rozier (Dem)_Choice Total,Total,
0,Telfair,Helena,969,133,276,68,7,484,484,
1,Telfair,Jacksonville,628,130,95,56,1,282,282,
2,Telfair,Lumber-City,963,160,132,238,0,530,530,
3,Telfair,McRae,2337,222,714,313,1,1250,1250,
4,Telfair,Milan,802,180,156,60,0,396,396,
5,Telfair,Scotland,333,90,69,24,0,183,183,
