index,County,Precinct,Registered Voters,Laura K. Neal (I) (Dem)_Election Day Votes,Laura K. Neal (I) (Dem)_Advanced Voting Votes,Laura K. Neal (I) (Dem)_Absentee by Mail Votes,Laura K. Neal (I) (Dem)_Provisional Votes,Laura K. Neal (I) (Dem)_Choice Total,Total,
0,Telfair,Lumber-City,963,5,6,1,0,12,12,
1,Telfair,McRae,2337,64,171,87,0,322,322,
2,Telfair,Scotland,333,95,67,18,0,180,180,
