index,County,Precinct,Registered Voters,Jake Boney (Rep)_Election Day Votes,Jake Boney (Rep)_Advanced Voting Votes,Jake Boney (Rep)_Absentee by Mail Votes,Jake Boney (Rep)_Provisional Votes,Jake Boney (Rep)_Choice Total,Total,
0,Telfair,Helena,969,136,312,49,4,501,501,
1,Telfair,Jacksonville,628,185,129,50,1,365,365,
2,Telfair,Lumber-City,963,181,180,68,0,429,429,
3,Telfair,McRae,2337,193,730,222,0,1145,1145,
4,Telfair,Milan,802,235,242,73,0,550,550,
5,Telfair,Scotland,333,109,79,25,0,213,213,
