index,County,Precinct,Registered Voters,Johnny O. Smith (Rep)_Election Day Votes,Johnny O. Smith (Rep)_Advanced Voting Votes,Johnny O. Smith (Rep)_Absentee by Mail Votes,Johnny O. Smith (Rep)_Provisional Votes,Johnny O. Smith (Rep)_Choice Total,Sim Davidson (Dem)_Election Day Votes,Sim Davidson (Dem)_Advanced Voting Votes,Sim Davidson (Dem)_Absentee by Mail Votes,Sim Davidson (Dem)_Provisional Votes,Sim Davidson (Dem)_Choice Total,Total,
0,Telfair,Helena,969,68,149,29,1,247,100,226,57,7,390,637,
1,Telfair,Jacksonville,628,95,65,21,0,181,115,79,59,1,254,435,
2,Telfair,Lumber-City,963,137,133,35,0,305,91,83,230,0,404,709,
3,Telfair,McRae,2337,82,295,73,0,450,170,629,331,1,1131,1581,
4,Telfair,Milan,802,132,121,38,0,291,138,144,48,0,330,621,
5,Telfair,Scotland,333,44,36,13,0,93,82,60,14,0,156,249,
